Job Id,Job Title,Role,Experience,Qualifications,skills,Responsibilities,Job Description
1017340707950150,Procurement Manager,Supplier Diversity Manager,5 to 10 Years,BBA,Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles,Promote supplier diversity initiatives and inclusion. Identify and onboard diverse suppliers. Monitor compliance with diversity goals and regulations.,"Promote diversity and inclusion in the supply chain, manage supplier diversity programs, and assess supplier performance."
2421048253959975,Architectural Designer,Architectural Drafter,0 to 12 Years,MBA,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Prepare detailed architectural drawings and plans using computer-aided design (CAD) software. Assist architects in project documentation and coordination. Ensure compliance with building codes and regulations.,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.
1822636506606589,Art Teacher,Art Education Coordinator,0 to 11 Years,M.Com,Art education curriculum Program development Teacher training Communication skills Artistic expertise,"Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases.","An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities."
3068000579894602,Environmental Consultant,Environmental Impact Analyst,5 to 12 Years,B.Com,Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS (Geographic Information Systems) Technical writing,Assess the environmental impact of projects and developments. Conduct environmental impact assessments (EIAs) and provide mitigation recommendations. Collaborate with project teams and regulators.,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices."
1747904829392680,Art Teacher,Art Education Coordinator,4 to 13 Years,BCA,Art education curriculum Program development Teacher training Communication skills Artistic expertise,"Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases.","An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities."
1891291129748729,Event Planner,Wedding Planner,5 to 10 Years,MBA,Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,"Specialize in wedding planning, assisting couples in creating their dream weddings. Select and manage vendors, plan ceremonies, and handle wedding day coordination. Provide creative and budget-conscious solutions.","Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor."
2252571142854596,Architect,Architectural Designer,3 to 11 Years,M.Com,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations.,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards."
2438881208917048,Family Lawyer,Mediator,5 to 14 Years,BA,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques,Facilitate mediation and alternative dispute resolution (ADR) processes to help clients reach mutually agreeable resolutions. Maintain neutrality and guide parties toward compromise. Draft mediation agreements.,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.
687428170224095,Account Manager,Client Relationship Manager,5 to 12 Years,PhD,Client relationship management Customer service Communication skills,Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication.,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction."
1690092345385690,Business Development Manager,Market Expansion Manager,4 to 8 Years,BBA,Market expansion strategies Market research Sales planning and execution,Develop and execute plans to expand market presence and reach new customers. Conduct market research and competitor analysis. Evaluate market trends and opportunities.,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration."
