person_id,name,email,phone,linkedin,institution,program,title,firm,start_date,end_date,skills,abilities,resume_text
19960,oracle database administrator architect oracle database administrator architect lead oracle database administrator architect fannie mae,,,,bharathiyar university aspen university,bachelor of computer science mba in project management,oracle database administrator architect lead oracle database admin and data architect oracle applications dba system administrator oracle and sybase development production dba lead oracle production dba lead peoplesoft oracle dba sap oracle dba non sap oracle dba senior database administrator oracle database administrator junior oracle database administrator senior analyst programmer analyst programmer,fannie mae john deere company elm resources agilent technologies jpmorgan chase group nortel networks csc kpmg peatmarwick john deere co hewlett packard national bank of dubai terrazzo llc bokaro thermal plant aicam engineering ltd,06 2010 08 2003 06 2002 03 2001 10 1999 04 1999 12 1997 06 1997 02 1996 05 1995 09 1993 06 1992,present 06 2010 07 2003 05 2002 03 2001 09 1999 04 1999 12 1997 05 1997 01 1996 04 1995 08 1993,oracle 11g 10g 9i 8i database administration database architect with oltp and data warehouse systems application development life cycle methodologies database and application performance tuning implementing high availability options using data guard with zero data loss oracle 10g rac and advanced replication in oltp environment implementation of oracle 10g and its new features coordinating with application development and qa teams during production deployments working co coordinating with the onsite offshore teams configuring and implementing 10g rac with asm disk on linux and windows servers setting up ha data guard with zero data loss maximum availability and standby databases working on enterprise data warehouse and data marts configuring and setting up disaster recovery site worked on oracle streams data replication including schema and tables replication setting up and maintaining data warehouse databases including writing etl scripts to take data from mainframe db2 warehouse systems to oracle performing several rdbms upgrades from 8i to 9i 9i to 10g and 10g to 11g refreshing development and qa environment with production databases involved in the installation maintenance and troubleshoot of databases oem with grid control troubleshooting database performance with awr addm analysis and 24 7 support of databases worked on aix 5 2 solaris 10 sunos 5 10 hp unix 11 etc worked on sap oracle databases including taking backups cloning and monitoring worked on sap oss notes for issues and bugs related information worked on sap change transport worked on sapdba utility br tools etc database and necessary os monitoring by using bmc and oem packages worked on power designer 10 11 for data modeling and reverse engineering refreshing cloning instances patch application working on third party tools such as veritas cluster manager kintana etc responsible for analyzing the need for applying the patches to the applications database applying the patch to test instances and performs rigorous testing and subsequently applying to the production instance maintaining tars using the oracle metalink for key issues related to applications performance tuning cloning of the instances test development qa staging creating application users and assigning responsibilities based on functionality monitoring the users concurrent managers setting profile options identifying and resolving user issues responsible for documenting the process for reference daily activities monitoring os file system usage concurrent managers alert logs concurrent managers logs tablespace usage tns web forms and reports services interaction with oracle developers to assist them in troubleshooting their problems related to oracle applications and oracle databases worked on traditional and rman backup recovery procedures and worked on setting up standby databases space management rman backups pager support working on problem tickets including shell scripting using ad utilities extensively like adpatch adadmin admerge and adctrl etc coordinating with the offshore to get the work done installation and upgrades on sybase 11 x 12 x and oracle 8 x and 9 x databases designing and executing the event center project which helps to have one on one meeting and group conference through the web working on backup and recovery solution and tuning issues on oracle and sybase databases also configuration of veritas netbackup capacity planning and space management security management auditing memory and performance tuning supported 24x7 availability of dba support oracle siebel crm and e commerce databases on oracle sybase databases in various units of jpmorgan chase datacenters and effectively handled the disaster recovery using bmc sql backtrack major designing of online investment banking projects on sybase which is also scalable on oracle database proactive planning for database maintenance activities delivering application group s expectations within deadlines proactive database support throughout application development life cycles database upgrade and migration conversion from file maker pro to sybase and sybase server to oracle worked on 2 ecommerce project migration from sybase 11 9 2 12 0 0 3 to oracle 8 1 7 2 1 worked on oracle migration workbench 2 0 2 0 0 and cast third party tool for checking errors and functionality in the front end code which uses sybase oracle databases worked extensively on database and application procedure migration from sybase to oracle databases and merged multiple sybase databases to one oracle database while migration including shell scripting worked extensively on sybase easerver bea weblogic 5 x securant servers etc installation and configuration of oracle version 8i on solaris 2 6 configuring and setting up replication and standby databases to guard against failure supporting and troubleshooting odbc jdbc sql net and network related stuff creation of databases and support for critical database systems extensively worked on database migration from oracle 7 x to 8 x creating logical volumes and managing raw volumes across the emc disk maintained 5 sybase databases with size of 20gb extensively worked on architecting the system and laying out the file systems according to the hot spots and extensively worked on emc bcv backups extensively worked on rman for backup and recovery scenarios administration of oracle names server and was involved in maintenance of sql net and client configuration application migration from open vms to sun solaris on e10k with emc disk arrays database monitoring expert with hp openview oracle enterprise manager and sql navigator implemented failure detection and automatic troubleshooting using oem and hp openview for production databases extensive knowledge of setting up webservers broadvision and weblogic apps servers designing the database sizing tables and indexes for proper storage mgmt for e commerce application using designer 2000 extensively worked on gdiw global data information warehouse systems which are a global data warehouse database which gets data from 50 system houses supports 24x7 availability of dba support and size of the database is 650gb plus on 9 sap servers and 40 non sap oracle databases of varying size from 50gb to 250gb in various units of nortel datacenters and effectively handled the disaster recovery coordinating and scheduling changes to database based on requirements extensive experience on veritas netbackup administration including shell scripting installation and configuration of oracle ver 7 x 8 x 8i on solaris 2 5 2 6 configuring and setting up replication and standby databases to guard against failure supporting and troubleshooting odbc jdbc sql net and network related stuff creation of databases and support for critical database systems installation and configuration of oem 2 0 4 sql navigator and rman planning database backup and disaster recovery strategy responsible for backup recovery using oebu 2 2 for oracle 7 database and rman for oracle 8 databases with veritas netbackup 3 1 1 administration of oracle names server and was involved in maintenance of sql net and client configuration supported 24x7 availability of dba support and size of the database is 150gb on 3 peoplesoft servers and 40 non peoplesoft oracle databases of varying size from 2gb to 10gb and effectively handled the disaster recovery database monitoring familiar with bmc patrol oracle enterprise manager and sql navigator implemented failure detection and automatic troubleshooting using bmc patrol for production databases including shell awk scripting designing the database sizing tables and indexes for proper storage mgmt using designer 2000 and erwin tools coordinating and scheduling changes to database based on requirements worked on custom and packaged application and followed all the standards of the proprietary s w and duties include package system work plan development package implementation staffing requirements capacity planning design for performance scalability and reliability business process knowledge product specific knowledge product specific knowledge is expected to be temporal worked on remedy package and team track package and leveraged the package according to the customer needs,oracle database administration database architect application development life cycle methodologies database and application performance tuning implementing high availability options oracle 10g rac and advanced replication shell scripting capacity planning space management security management auditing memory and performance tuning rman backup and recovery database migration sybase database support oracle workbench migration oracle applications dba peoplesoft dba sap oracle dba,bharathiyar university aspen university bachelor of computer science mba in project management oracle database administrator architect lead oracle database admin and data architect oracle applications dba system administrator oracle and sybase development production dba lead oracle production dba lead peoplesoft oracle dba sap oracle dba non sap oracle dba senior database administrator oracle database administrator junior oracle database administrator senior analyst programmer analyst programmer fannie mae john deere company elm resources agilent technologies jpmorgan chase group nortel networks csc kpmg peatmarwick john deere co hewlett packard national bank of dubai terrazzo llc bokaro thermal plant aicam engineering ltd oracle 11g 10g 9i 8i database administration database architect with oltp and data warehouse systems application development life cycle methodologies database and application performance tuning implementing high availability options using data guard with zero data loss oracle 10g rac and advanced replication in oltp environment implementation of oracle 10g and its new features coordinating with application development and qa teams during production deployments working co coordinating with the onsite offshore teams configuring and implementing 10g rac with asm disk on linux and windows servers setting up ha data guard with zero data loss maximum availability and standby databases working on enterprise data warehouse and data marts configuring and setting up disaster recovery site worked on oracle streams data replication including schema and tables replication setting up and maintaining data warehouse databases including writing etl scripts to take data from mainframe db2 warehouse systems to oracle performing several rdbms upgrades from 8i to 9i 9i to 10g and 10g to 11g refreshing development and qa environment with production databases involved in the installation maintenance and troubleshoot of databases oem with grid control troubleshooting database performance with awr addm analysis and 24 7 support of databases worked on aix 5 2 solaris 10 sunos 5 10 hp unix 11 etc worked on sap oracle databases including taking backups cloning and monitoring worked on sap oss notes for issues and bugs related information worked on sap change transport worked on sapdba utility br tools etc database and necessary os monitoring by using bmc and oem packages worked on power designer 10 11 for data modeling and reverse engineering refreshing cloning instances patch application working on third party tools such as veritas cluster manager kintana etc responsible for analyzing the need for applying the patches to the applications database applying the patch to test instances and performs rigorous testing and subsequently applying to the production instance maintaining tars using the oracle metalink for key issues related to applications performance tuning cloning of the instances test development qa staging creating application users and assigning responsibilities based on functionality monitoring the users concurrent managers setting profile options identifying and resolving user issues responsible for documenting the process for reference daily activities monitoring os file system usage concurrent managers alert logs concurrent managers logs tablespace usage tns web forms and reports services interaction with oracle developers to assist them in troubleshooting their problems related to oracle applications and oracle databases worked on traditional and rman backup recovery procedures and worked on setting up standby databases space management rman backups pager support working on problem tickets including shell scripting using ad utilities extensively like adpatch adadmin admerge and adctrl etc coordinating with the offshore to get the work done installation and upgrades on sybase 11 x 12 x and oracle 8 x and 9 x databases designing and executing the event center project which helps to have one on one meeting and group conference through the web working on backup and recovery solution and tuning issues on oracle and sybase databases also configuration of veritas netbackup capacity planning and space management security management auditing memory and performance tuning supported 24x7 availability of dba support oracle siebel crm and e commerce databases on oracle sybase databases in various units of jpmorgan chase datacenters and effectively handled the disaster recovery using bmc sql backtrack major designing of online investment banking projects on sybase which is also scalable on oracle database proactive planning for database maintenance activities delivering application group s expectations within deadlines proactive database support throughout application development life cycles database upgrade and migration conversion from file maker pro to sybase and sybase server to oracle worked on 2 ecommerce project migration from sybase 11 9 2 12 0 0 3 to oracle 8 1 7 2 1 worked on oracle migration workbench 2 0 2 0 0 and cast third party tool for checking errors and functionality in the front end code which uses sybase oracle databases worked extensively on database and application procedure migration from sybase to oracle databases and merged multiple sybase databases to one oracle database while migration including shell scripting worked extensively on sybase easerver bea weblogic 5 x securant servers etc installation and configuration of oracle version 8i on solaris 2 6 configuring and setting up replication and standby databases to guard against failure supporting and troubleshooting odbc jdbc sql net and network related stuff creation of databases and support for critical database systems extensively worked on database migration from oracle 7 x to 8 x creating logical volumes and managing raw volumes across the emc disk maintained 5 sybase databases with size of 20gb extensively worked on architecting the system and laying out the file systems according to the hot spots and extensively worked on emc bcv backups extensively worked on rman for backup and recovery scenarios administration of oracle names server and was involved in maintenance of sql net and client configuration application migration from open vms to sun solaris on e10k with emc disk arrays database monitoring expert with hp openview oracle enterprise manager and sql navigator implemented failure detection and automatic troubleshooting using oem and hp openview for production databases extensive knowledge of setting up webservers broadvision and weblogic apps servers designing the database sizing tables and indexes for proper storage mgmt for e commerce application using designer 2000 extensively worked on gdiw global data information warehouse systems which are a global data warehouse database which gets data from 50 system houses supports 24x7 availability of dba support and size of the database is 650gb plus on 9 sap servers and 40 non sap oracle databases of varying size from 50gb to 250gb in various units of nortel datacenters and effectively handled the disaster recovery coordinating and scheduling changes to database based on requirements extensive experience on veritas netbackup administration including shell scripting installation and configuration of oracle ver 7 x 8 x 8i on solaris 2 5 2 6 configuring and setting up replication and standby databases to guard against failure supporting and troubleshooting odbc jdbc sql net and network related stuff creation of databases and support for critical database systems installation and configuration of oem 2 0 4 sql navigator and rman planning database backup and disaster recovery strategy responsible for backup recovery using oebu 2 2 for oracle 7 database and rman for oracle 8 databases with veritas netbackup 3 1 1 administration of oracle names server and was involved in maintenance of sql net and client configuration supported 24x7 availability of dba support and size of the database is 150gb on 3 peoplesoft servers and 40 non peoplesoft oracle databases of varying size from 2gb to 10gb and effectively handled the disaster recovery database monitoring familiar with bmc patrol oracle enterprise manager and sql navigator implemented failure detection and automatic troubleshooting using bmc patrol for production databases including shell awk scripting designing the database sizing tables and indexes for proper storage mgmt using designer 2000 and erwin tools coordinating and scheduling changes to database based on requirements worked on custom and packaged application and followed all the standards of the proprietary s w and duties include package system work plan development package implementation staffing requirements capacity planning design for performance scalability and reliability business process knowledge product specific knowledge product specific knowledge is expected to be temporal worked on remedy package and team track package and leveraged the package according to the customer needs oracle database administration database architect application development life cycle methodologies database and application performance tuning implementing high availability options oracle 10g rac and advanced replication shell scripting capacity planning space management security management auditing memory and performance tuning rman backup and recovery database migration sybase database support oracle workbench migration oracle applications dba peoplesoft dba sap oracle dba 06 2010 08 2003 06 2002 03 2001 10 1999 04 1999 12 1997 06 1997 02 1996 05 1995 09 1993 06 1992 present 06 2010 07 2003 05 2002 03 2001 09 1999 04 1999 12 1997 05 1997 01 1996 04 1995 08 1993
11490,cyber surety journeyman,,,https www linkedin com in thughes86,american military university western governors university,bachelors of science in information systems security masters of science,cyber surety journeyman cyber security analyst service desk analyst it specialist,usaf bylight it professionals bylight it professionals united states air force,2017 2018 2017 2014,present 2019 2018 2017,vulnerability management nessus security center acas disa stigs nist rmf disa security technical implementation guides it security administration wireshark packet analysis network monitoring arcsight esm arcsight logger bluecoat mcafee hbss splunk microsoft ata mcafee atd fortigate firewall incident response threat research cyber threat advisories helpdesk support remedy active directory group policy windows server 2012r2 2016 windows 7 10 user provisioning server provisioning windows server 2012r2 windows server 2008r2 windows 7 10 hardware upgrades user training vulnerability mitigation disa stigs nessus standard operating procedures,cyber security system administration customer service vulnerability management disa stig implementation nist rmf it security administration packet analysis network monitoring incident response threat research cyber threat advisories helpdesk support active directory group policy windows server windows client user provisioning server provisioning hardware upgrades user training vulnerability mitigation standard operating procedures,american military university western governors university bachelors of science in information systems security masters of science cyber surety journeyman cyber security analyst service desk analyst it specialist usaf bylight it professionals bylight it professionals united states air force vulnerability management nessus security center acas disa stigs nist rmf disa security technical implementation guides it security administration wireshark packet analysis network monitoring arcsight esm arcsight logger bluecoat mcafee hbss splunk microsoft ata mcafee atd fortigate firewall incident response threat research cyber threat advisories helpdesk support remedy active directory group policy windows server 2012r2 2016 windows 7 10 user provisioning server provisioning windows server 2012r2 windows server 2008r2 windows 7 10 hardware upgrades user training vulnerability mitigation disa stigs nessus standard operating procedures cyber security system administration customer service vulnerability management disa stig implementation nist rmf it security administration packet analysis network monitoring incident response threat research cyber threat advisories helpdesk support active directory group policy windows server windows client user provisioning server provisioning hardware upgrades user training vulnerability mitigation standard operating procedures 2017 2018 2017 2014 present 2019 2018 2017
18742,scott township,,,,luzerne county community college wilkes university,computer programming certificate bachelor of science in mathematics in education,computer systems analyst programmer database support database administrator business analyst student teacher grades mathematics,united states postal service jenkins township pa tmg health jessup pa lake lehman high school lehman pa,2015 2015 2013 2012,present 2015 2015 2012,oracle databases pl sql database design data analysis programming requirements gathering troubleshooting production support post production management maintenance reporting testing quality assurance oracle sql queries ad hoc reporting vba sql server database microsoft access reporting data analysis business requirements process improvement drools expert mathematics curriculum geometry algebra remedial algebra precalculus calculus promethean boards mathematica geogebra khan academy tablet apps,database design pl sql performance tuning data analysis programming requirements gathering troubleshooting production support post production management maintenance reporting testing quality assurance team player passion for success professional and personal improvement experience and education,luzerne county community college wilkes university computer programming certificate bachelor of science in mathematics in education computer systems analyst programmer database support database administrator business analyst student teacher grades mathematics united states postal service jenkins township pa tmg health jessup pa lake lehman high school lehman pa oracle databases pl sql database design data analysis programming requirements gathering troubleshooting production support post production management maintenance reporting testing quality assurance oracle sql queries ad hoc reporting vba sql server database microsoft access reporting data analysis business requirements process improvement drools expert mathematics curriculum geometry algebra remedial algebra precalculus calculus promethean boards mathematica geogebra khan academy tablet apps database design pl sql performance tuning data analysis programming requirements gathering troubleshooting production support post production management maintenance reporting testing quality assurance team player passion for success professional and personal improvement experience and education 2015 2015 2013 2012 present 2015 2015 2012
51688,michael owuor,,,https www linkedin com in michaelowuor,keller graduate school of management moi university delaware county community college,master of business administration in network and communication systems management bachelor of science in electrical computer engineering in electrical and computer engineering associate of applied science in network engineering and administration,service desk manager service desk lead technician network administrator technical support analyst it consultant advanced products lead technical support specialist network support technician,highpoint solutions llc highpoint solutions llc boxtechs llc sicom systems webmax llc comcast corporation dialnet communications systems ltd,12 2018 03 2017 09 2016 03 2016 09 2013 08 2009 05 2005,present 11 2018 02 2017 08 2016 02 2016 06 2011 04 2007,active directory windows server administration cisco network device installation and configuration pc and macs break fix problem resolution active directory administration office 365 administration single sign on administrations via the okta platform pc and mac applications installation and troubleshooting active directory administration microsoft exchange administration office 365 administration hardware provisioning network devices installation and configuration point of sale system diagnostics and troubleshooting help desk ticket documentation pc laptop and peripherals repair and maintenance home and small office network design and implementation software installation and upgrades virus detection and removal mobile device repair and upgrading cable phone and internet technical support diagnostics and troubleshooting help desk ticket documentation cisco network hardware installation and configuration pc hardware repair and replacement network connectivity troubleshooting end user technical support network and server security implementation,active directory and windows server administration cisco network device installation and configuration pc and macs break fix problem resolution service desk management technical support network engineering,keller graduate school of management moi university delaware county community college master of business administration in network and communication systems management bachelor of science in electrical computer engineering in electrical and computer engineering associate of applied science in network engineering and administration service desk manager service desk lead technician network administrator technical support analyst it consultant advanced products lead technical support specialist network support technician highpoint solutions llc highpoint solutions llc boxtechs llc sicom systems webmax llc comcast corporation dialnet communications systems ltd active directory windows server administration cisco network device installation and configuration pc and macs break fix problem resolution active directory administration office 365 administration single sign on administrations via the okta platform pc and mac applications installation and troubleshooting active directory administration microsoft exchange administration office 365 administration hardware provisioning network devices installation and configuration point of sale system diagnostics and troubleshooting help desk ticket documentation pc laptop and peripherals repair and maintenance home and small office network design and implementation software installation and upgrades virus detection and removal mobile device repair and upgrading cable phone and internet technical support diagnostics and troubleshooting help desk ticket documentation cisco network hardware installation and configuration pc hardware repair and replacement network connectivity troubleshooting end user technical support network and server security implementation active directory and windows server administration cisco network device installation and configuration pc and macs break fix problem resolution service desk management technical support network engineering 12 2018 03 2017 09 2016 03 2016 09 2013 08 2009 05 2005 present 11 2018 02 2017 08 2016 02 2016 06 2011 04 2007
3271,sylvia castro,,,https www linkedin com in sylviacastro3,devry university,bachelor of science in computer information systems in web development and administration,front end developer intern web lms programmer account executive,americaneagle com cambridge business publishers c h robinson worldwide inc,06 19 04 19 05 04,present 06 19 10 12,html asp net moodle html css customer service logistics management,front end developer web development project management customer service logistics management,devry university bachelor of science in computer information systems in web development and administration front end developer intern web lms programmer account executive americaneagle com cambridge business publishers c h robinson worldwide inc html asp net moodle html css customer service logistics management front end developer web development project management customer service logistics management 06 19 04 19 05 04 present 06 19 10 12
22459,sr ux designer ui developer,,,,,,sr ux designer ui developer ux designer senior ui specialist ui engineer visual ui designer front end web developer ui design,cisco yuzu yp holdings llc nextag solutionset llc freelancer,09 2016 11 2014 01 2010 06 2009 04 2005 2000,present 06 2016 11 2014 12 2009 01 2009 2005,design direction new features and services implementation web platform prototyping sketch bootstrap html5 css3 angular js rest github jira atom android platform app designing android developing process managing ios web windows platform apps ux supporting usability research team at user study sessions web mobile platforms prototyping web mobile web apps iphone android ipad windows blackberry designing ad solutions design mobile apps web native front end developing a b testing interfaces designing microsites designing interaction flows prototyping designed and developed mock ups wireframes storyboards style guides website uis flash animations banners corporate styles and logotypes designing mobile device software for iphones website design html css javascript pages developing graphics optimization php templates setting flash animations and as2 3 xml driven application web and print presentations usability accessibility browser compatibility testing website design html templates optimized graphics usability accessibility browser compatibility testing developed pages in hand coded html design development and maintenance of web sites photoshop to improve create images and background to deliver faster web pages to the user,concept design prototyping user interface design interface design information architecture visual design architecture user interface ui html javascript ux css jquery,sr ux designer ui developer ux designer senior ui specialist ui engineer visual ui designer front end web developer ui design cisco yuzu yp holdings llc nextag solutionset llc freelancer design direction new features and services implementation web platform prototyping sketch bootstrap html5 css3 angular js rest github jira atom android platform app designing android developing process managing ios web windows platform apps ux supporting usability research team at user study sessions web mobile platforms prototyping web mobile web apps iphone android ipad windows blackberry designing ad solutions design mobile apps web native front end developing a b testing interfaces designing microsites designing interaction flows prototyping designed and developed mock ups wireframes storyboards style guides website uis flash animations banners corporate styles and logotypes designing mobile device software for iphones website design html css javascript pages developing graphics optimization php templates setting flash animations and as2 3 xml driven application web and print presentations usability accessibility browser compatibility testing website design html templates optimized graphics usability accessibility browser compatibility testing developed pages in hand coded html design development and maintenance of web sites photoshop to improve create images and background to deliver faster web pages to the user concept design prototyping user interface design interface design information architecture visual design architecture user interface ui html javascript ux css jquery 09 2016 11 2014 01 2010 06 2009 04 2005 2000 present 06 2016 11 2014 12 2009 01 2009 2005
10242,security control assessor,,,,lagos state university,b sc in information security,security control assessor security control assessor information security analyst it security specialist information technology specialist helpdesk support account auditor,tech consulting llc ncr okinyx it midland financial services nama nama nama,01 2019 2018 07 2014 11 2012 03 2008 08 2006 03 2003,present 12 2018 02 2017 07 2014 06 2012 03 2008 08 2006,security nist 800 37 nist 800 53 fips 199 fips 200 omb a 130 fedramp nist 800 34 contingency planning poa m continuous monitoring nist sp 800 53a nessus nist sp 800 60 nist sp 800 53 fips 199 risk management framework certification and accreditation nist 800 37 nist 800 53 fips 199 fips 200 omb a 130 fisma csam fips 199 pta e authentication contingency plan security test evaluation security assessment plan security assessment report standard operating procedures nist 800 37 nist 800 53 fips 199 fips 200 omb a 130 fisma nist sp 800 18 nist sp 800 30 nist sp 800 37 nist sp 800 53 nist sp 800 53a nist sp 800 60 retina network security scanner nessus nist sp 800 37 nist sp 800 18 nist sp 800 53 nist sp 800 34 risk assessment system security plan poa m configuration management plan contingency plan incident response plan network administration hardware support software installation data backup disaster recovery change management technical support hardware troubleshooting software troubleshooting network connectivity active directory accounting auditing internal controls compliance,security cobit information security itil nessus nist fisma document management configuration management document management systems assurance analyst information assurance content management documentation auditing ecms internal controls best practices scanning,lagos state university b sc in information security security control assessor security control assessor information security analyst it security specialist information technology specialist helpdesk support account auditor tech consulting llc ncr okinyx it midland financial services nama nama nama security nist 800 37 nist 800 53 fips 199 fips 200 omb a 130 fedramp nist 800 34 contingency planning poa m continuous monitoring nist sp 800 53a nessus nist sp 800 60 nist sp 800 53 fips 199 risk management framework certification and accreditation nist 800 37 nist 800 53 fips 199 fips 200 omb a 130 fisma csam fips 199 pta e authentication contingency plan security test evaluation security assessment plan security assessment report standard operating procedures nist 800 37 nist 800 53 fips 199 fips 200 omb a 130 fisma nist sp 800 18 nist sp 800 30 nist sp 800 37 nist sp 800 53 nist sp 800 53a nist sp 800 60 retina network security scanner nessus nist sp 800 37 nist sp 800 18 nist sp 800 53 nist sp 800 34 risk assessment system security plan poa m configuration management plan contingency plan incident response plan network administration hardware support software installation data backup disaster recovery change management technical support hardware troubleshooting software troubleshooting network connectivity active directory accounting auditing internal controls compliance security cobit information security itil nessus nist fisma document management configuration management document management systems assurance analyst information assurance content management documentation auditing ecms internal controls best practices scanning 01 2019 2018 07 2014 11 2012 03 2008 08 2006 03 2003 present 12 2018 02 2017 07 2014 06 2012 03 2008 08 2006
38816,database administrator,,,,omibia information technology training school university of nigeria nsukka,b s in economics,database administrator,mattress firm,08 2013,present,rdbms database design performance tuning optimization backup and recovery sql server 2008 2008r2 sql server 2012 sql server 2014 disaster recovery planning execution and testing sql server tools import export wizard sql server enterprise manager sql profiler sql query analyzer high availability always on sql server solutions replication models snapshot transactional maintenance plans database mail e t l tools s s i s b c p import export wizard s s r s,ensures databases are secure consistent clearly defined performing properly monitors user access determine user needs design databases perform tests ensure standards are maintained work with other it professionals and managers ensure database integrity and security,omibia information technology training school university of nigeria nsukka b s in economics database administrator mattress firm rdbms database design performance tuning optimization backup and recovery sql server 2008 2008r2 sql server 2012 sql server 2014 disaster recovery planning execution and testing sql server tools import export wizard sql server enterprise manager sql profiler sql query analyzer high availability always on sql server solutions replication models snapshot transactional maintenance plans database mail e t l tools s s i s b c p import export wizard s s r s ensures databases are secure consistent clearly defined performing properly monitors user access determine user needs design databases perform tests ensure standards are maintained work with other it professionals and managers ensure database integrity and security 08 2013 present
40175,peter chubinskiy,,,,duke university general assembly houston community college,ba in literature visual arts web development immersive comptia a,teacher tutor graphic designer web designer front end web developer web designer web developer web development intern,testmasters internetbar org institute cmeded john manlove marketing and communications international facility management association general assembly lrngo inc,07 14 06 17 01 17 03 17 05 16 12 15 08 14,present 12 18 11 17 03 17 08 16 03 16 05 15,critical reading multiple choice essay writing sat act adobe creative cloud behance adobe experience design ux ui design asset management html css wordpress adobe photoshop html css javascript php wordpress dreamweaver html css3 javascript php adobe suite wordpress html css javascript jquery node mongodb nosql ruby on rails postgresql angular html5 css3 javascript php zend framework bitbucket api development front end development back end development database queries models and controllers javascript and html5 interactive features visual design email marketing,graphic design web development problem solving teaching writing editing working with diverse groups project management learning on the go,duke university general assembly houston community college ba in literature visual arts web development immersive comptia a teacher tutor graphic designer web designer front end web developer web designer web developer web development intern testmasters internetbar org institute cmeded john manlove marketing and communications international facility management association general assembly lrngo inc critical reading multiple choice essay writing sat act adobe creative cloud behance adobe experience design ux ui design asset management html css wordpress adobe photoshop html css javascript php wordpress dreamweaver html css3 javascript php adobe suite wordpress html css javascript jquery node mongodb nosql ruby on rails postgresql angular html5 css3 javascript php zend framework bitbucket api development front end development back end development database queries models and controllers javascript and html5 interactive features visual design email marketing graphic design web development problem solving teaching writing editing working with diverse groups project management learning on the go 07 14 06 17 01 17 03 17 05 16 12 15 08 14 present 12 18 11 17 03 17 08 16 03 16 05 15
31762,sr android application developer,,,,bachelor s,,sr android application developer sr android application developer android developer android developer jr android developer java developer,heartland payment systems agco corporation my fitness pal sears holding corp silvercloudtechnologies gail technologies,05 2017 04 2015 01 2013 08 2010 04 2009 01 2007,present 04 2017 03 2015 12 2012 07 2010 03 2009,android sdk android 7 0 8 0 8 1 9 0 sqlite 3 6 eclipse ide 4 6 java gradle dagger dependency injection android api s retrofit android ndk kotlin 1 2 1 3 android design library jenkins junit jdk 1 6 xml json html css sqlite gps service log cat windows 7 git code repository android sdk 2 2 android 7 1 8 0 8 1 sqlite 3 6 java eclipse ide 4 5 android api s jdk 1 6 xml json gps adt plug in cvs version control gms gradle tdd junit dagger 2 json dagger dependency injection jni logcat ddms console android sdk android 5 0 6 0 7 1 2 location api s json eclipse ide 4 4 java jenkins web view gps service json google maps broadcast receivers git hub sqlite3 multi threading http logcat wi fi manager android sdk git bean stack android 5 0 6 0 rest json java pro guard google maps api ci cd tools json android emulator sqlite linux unix xml android 2 0 3 0 4 4 versions java android sdk adt rest notification android ndk shared preferences fragments json sqlite html javascript css xml payment gateway java 1 4 java script css html soap mvc spring security hibernate struts rest pl sql spring boot spring oauth pcf rest orm,c design patterns git gradle gui,bachelor s sr android application developer sr android application developer android developer android developer jr android developer java developer heartland payment systems agco corporation my fitness pal sears holding corp silvercloudtechnologies gail technologies android sdk android 7 0 8 0 8 1 9 0 sqlite 3 6 eclipse ide 4 6 java gradle dagger dependency injection android api s retrofit android ndk kotlin 1 2 1 3 android design library jenkins junit jdk 1 6 xml json html css sqlite gps service log cat windows 7 git code repository android sdk 2 2 android 7 1 8 0 8 1 sqlite 3 6 java eclipse ide 4 5 android api s jdk 1 6 xml json gps adt plug in cvs version control gms gradle tdd junit dagger 2 json dagger dependency injection jni logcat ddms console android sdk android 5 0 6 0 7 1 2 location api s json eclipse ide 4 4 java jenkins web view gps service json google maps broadcast receivers git hub sqlite3 multi threading http logcat wi fi manager android sdk git bean stack android 5 0 6 0 rest json java pro guard google maps api ci cd tools json android emulator sqlite linux unix xml android 2 0 3 0 4 4 versions java android sdk adt rest notification android ndk shared preferences fragments json sqlite html javascript css xml payment gateway java 1 4 java script css html soap mvc spring security hibernate struts rest pl sql spring boot spring oauth pcf rest orm c design patterns git gradle gui 05 2017 04 2015 01 2013 08 2010 04 2009 01 2007 present 04 2017 03 2015 12 2012 07 2010 03 2009
